index,Ru1,Ru2,Ru3,v1,v2,v3,v4,v5,boundrary area (m2),length (m),width (m),travel length (m),mobile robot travel time (min),number of assembly sequences,robot viability rating [roof panels] (0 to 1),number of roof panels,robot viability rating [wall panels] (0 to 1),number of wall panels,total number of panels,total weight (kg),embodied carbon (kgCO2e),max deflection (cm),required quantity of CLT master panels for fabrication,number of assembly sequences requiring extra support
873,6,7,4,0,53,69,1,0,121,11,11,2118,79,33,0.43,33,0.61,49,82,8003.171792,3497,0.278218,2.95,6
874,0,7,3,2,55,58,2,0,110,11,10,2205,82,36,0.48,36,0.5,52,88,8258.85272,3609,0.305647,3.03,9
875,0,14,10,1,69,48,1,2,112,14,8,2112,79,32,0.47,32,0.51,53,85,8324.555911,3638,0.247077,3.07,6
876,1,11,0,3,46,52,0,1,105,7,15,2237,83,37,0.5,37,0.55,49,86,8411.009341,3676,0.262247,3.17,11
877,7,4,11,2,34,47,2,1,98,14,7,1809,67,30,0.43,30,0.55,51,81,8637.712596,3775,0.255704,3.21,7
878,3,11,4,0,39,33,1,1,72,18,4,2456,92,32,0.43,32,0.5,52,84,9086.973242,3971,0.315047,3.35,8
879,6,5,14,1,39,31,1,1,112,14,8,2004,75,31,0.44,31,0.49,51,82,9012.746284,3939,0.2736,3.45,9
880,4,3,12,3,53,43,1,1,105,15,7,2588,96,34,0.46,34,0.56,51,85,8622.837348,3768,0.257492,3.09,7
881,5,18,13,3,65,55,0,2,120,10,12,1916,71,35,0.48,35,0.58,49,84,8158.631899,3565,0.277813,2.94,9
882,4,0,10,2,67,42,1,1,121,11,11,2345,87,38,0.52,38,0.6,50,88,8235.969777,3599,0.276031,3.12,9
883,6,4,12,1,61,65,2,1,110,10,11,1734,65,33,0.47,33,0.55,51,84,8088.207238,3535,0.226359,2.99,9
884,2,3,11,3,70,45,0,1,121,11,11,2549,95,33,0.48,33,0.64,47,80,8173.987353,3572,0.254898,3.05,7
885,6,21,13,0,57,56,2,1,77,7,11,1782,66,33,0.43,33,0.5,52,85,8354.223991,3651,0.239445,2.98,6
886,5,18,14,2,49,65,1,1,120,10,12,2030,76,35,0.5,35,0.57,51,86,8416.800688,3678,0.238995,3.15,11
887,1,14,13,1,64,47,2,0,80,10,8,1757,66,32,0.45,32,0.45,52,84,8399.122522,3670,0.264703,3.12,9
888,1,9,3,2,40,69,1,1,88,11,8,1895,71,30,0.46,30,0.55,48,78,7899.852643,3452,0.234296,2.99,7
889,5,12,0,1,33,57,1,2,84,7,12,1835,68,35,0.46,35,0.51,53,88,8904.661536,3891,0.259709,3.34,10
